timestamp: 1680050603, power_value: 82, pv_value: 1180 
timestamp: 1680051118, power_value: 68, pv_value: 1184 
timestamp: 1680051132, power_value: 57, pv_value: 1187 
timestamp: 1680051133, power_value: 83, pv_value: 1175 
timestamp: 1680051135, power_value: 77, pv_value: 1176 
timestamp: 1680051150, power_value: 72, pv_value: 1172 
timestamp: 1680051151, power_value: 81, pv_value: 1177 
timestamp: 1680051152, power_value: 89, pv_value: 1185 
timestamp: 1680051153, power_value: 56, pv_value: 1172 
timestamp: 1680051154, power_value: 87, pv_value: 1198 
timestamp: 1680052636, power_value: 57, pv_value: 1182 
timestamp: 1680089383, power_value: 87, pv_value: 1198 
timestamp: 1680089384, power_value: 90, pv_value: 1200 
timestamp: 1680089386, power_value: 87, pv_value: 1197 
timestamp: 1680089387, power_value: 90, pv_value: 1199 
timestamp: 1680089388, power_value: 88, pv_value: 1198 
timestamp: 1680089389, power_value: 87, pv_value: 1197 
timestamp: 1680089390, power_value: 90, pv_value: 1200 
timestamp: 1680089391, power_value: 89, pv_value: 1199 
timestamp: 1680089392, power_value: 88, pv_value: 1198 
timestamp: 1680089394, power_value: 88, pv_value: 1198 
timestamp: 1680089395, power_value: 90, pv_value: 1200 
timestamp: 1680089400, power_value: 87, pv_value: 1200 
timestamp: 1680089405, power_value: 88, pv_value: 1198 
timestamp: 1680089410, power_value: 89, pv_value: 1199 
timestamp: 1680089416, power_value: 89, pv_value: 1198 
timestamp: 1680089421, power_value: 90, pv_value: 1198 
timestamp: 1680089426, power_value: 90, pv_value: 1199 
timestamp: 1680089431, power_value: 89, pv_value: 1198 
timestamp: 1680089436, power_value: 88, pv_value: 1197 
timestamp: 1680089441, power_value: 87, pv_value: 1200 
timestamp: 1680089446, power_value: 89, pv_value: 1198 
timestamp: 1680089452, power_value: 89, pv_value: 1197 
timestamp: 1680089457, power_value: 90, pv_value: 1198 
timestamp: 1680089462, power_value: 88, pv_value: 1197 
timestamp: 1680089467, power_value: 89, pv_value: 1199 
timestamp: 1680089472, power_value: 88, pv_value: 1200 
timestamp: 1680089477, power_value: 90, pv_value: 1198 
timestamp: 1680089483, power_value: 87, pv_value: 1198 
timestamp: 1680089488, power_value: 87, pv_value: 1197 
timestamp: 1680089493, power_value: 88, pv_value: 1197 
timestamp: 1680089498, power_value: 90, pv_value: 1199 
timestamp: 1680089503, power_value: 89, pv_value: 1200 
timestamp: 1680089508, power_value: 88, pv_value: 1200 
timestamp: 1680089513, power_value: 89, pv_value: 1200 
timestamp: 1680089519, power_value: 87, pv_value: 1200 
timestamp: 1680089524, power_value: 90, pv_value: 1198 
timestamp: 1680089529, power_value: 90, pv_value: 1200 
timestamp: 1680089534, power_value: 89, pv_value: 1198 
timestamp: 1680089539, power_value: 88, pv_value: 1199 
timestamp: 1680089544, power_value: 90, pv_value: 1199 
timestamp: 1680089549, power_value: 87, pv_value: 1198 
timestamp: 1680089555, power_value: 90, pv_value: 1199 
timestamp: 1680089560, power_value: 89, pv_value: 1197 
timestamp: 1680089565, power_value: 89, pv_value: 1198 
timestamp: 1680089570, power_value: 88, pv_value: 1200 
